COMBUSTIBLE,AÑO_REGISTRO,CLASE,SERVICIO,MARCA,MUNICIPIO,DEPARTAMENTO,CAPACIDAD_PASAJEROS,POTENCIA,CANTIDAD
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,49.0,402.0,1
ELECTRICO,2022,CAMIONETA,Particular,BYD,PEREIRA,Risaralda,,134.0,1
ELECTRICO,2015,MOTOCICLETA,Particular,E-MOTORI,FLORENCIA,Caqueta,,,1
ELECTRICO,2022,CAMIONETA,Público,DONGFENG,FUNZA,Cundinamarca,,80.0,1
ELECTRICO,2021,CAMIONETA,Particular,BYD,EL ROSAL,Cundinamarca,,161.0,1
ELECTRICO,2022,AUTOMOVIL,Particular,MINI,SABANETA,Antioquia,,184.0,1
ELECTRICO,2019,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,170.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,BYD,ENVIGADO,Antioquia,,60.0,1
ELECTRICO,2022,CAMIONETA,Particular,BMW,FUNZA,Cundinamarca,,326.0,1
ELECTRICO,2020,CAMIONETA,Público,JAC,ENVIGADO,Antioquia,0.0,147.0,1
ELECTRICO,2022,CAMIONETA,Particular,JAC,BOGOTA,Bogota D.C.,,147.0,1
ELECTRICO,2014,MOTOCICLETA,Particular,DBO,BOGOTA,Bogota D.C.,0.0,,1
ELECTRICO,2021,MOTOTRICICLO,Particular,QIANG SHENG,MOSQUERA,Cundinamarca,,,1
ELECTRICO,2021,CAMIONETA,Particular,BYD,BOGOTA,Bogota D.C.,,94.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,49.0,402.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,BMW,SABANETA,Antioquia,,181.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,,268.0,1
ELECTRICO,2016,AUTOMOVIL,Particular,RENAULT,ENVIGADO,Antioquia,,15.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,PORSCHE,CUCUTA,Norte de Santander,0.0,483.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,CHANGAN,SABANETA,Antioquia,,74.0,1
ELECTRICO,2022,AUTOMOVIL,Particular,CHANGAN,FUNZA,Cundinamarca,,74.0,1
ELECTRICO,2022,AUTOMOVIL,Particular,MINI,MEDELLIN,Antioquia,,184.0,1
ELECTRICO,2016,MOTOCARRO,Público,DAYUN,COTA,Cundinamarca,2.0,2.0,1
ELECTRICO,2016,MOTOCARRO,Público,DAYUN,COTA,Cundinamarca,2.0,2.0,1
ELECTRICO,2022,AUTOMOVIL,Particular,JAC,ENVIGADO,Antioquia,,60.0,1
ELECTRICO,2013,MOTOCICLETA,Particular,ENERGY MOTION,RIONEGRO,Antioquia,,,1
ELECTRICO,2018,CUADRICICLO,Particular,RENAULT,BOGOTA,Bogota D.C.,,15.0,1
ELECTRICO,2021,CUADRICICLO,Particular,RENAULT,BOGOTA,Bogota D.C.,,15.0,1
ELECTRICO,2022,CAMIONETA,Particular,BYD,BOGOTA,Bogota D.C.,,94.0,1
ELECTRICO,2020,CUADRICICLO,Particular,RENAULT,BOGOTA,Bogota D.C.,,15.0,1
ELECTRICO,2019,CUADRICICLO,Particular,RENAULT,ENVIGADO,Antioquia,,15.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,,402.0,1
ELECTRICO,2022,AUTOMOVIL,Particular,MINI,BOGOTA,Bogota D.C.,,184.0,1
ELECTRICO,2019,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,170.0,1
ELECTRICO,2022,CAMIONETA,Particular,HYUNDAI,BOGOTA,Bogota D.C.,,201.0,1
ELECTRICO,2019,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,170.0,1
ELECTRICO,2021,MOTOCICLETA,Particular,ZHONGXING,BARRANQUILLA,Atlantico,,,1
ELECTRICO,2020,CAMIONETA,Oficial,BYD,ARMENIA,Quindio,,134.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,NISSAN,BOGOTA,Bogota D.C.,,147.0,1
ELECTRICO,2022,CAMIONETA,Particular,DONGFENG,ACACIAS,Meta,0.0,161.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,28.0,268.0,1
ELECTRICO,2018,CAMIONETA,Público,RENAULT,SABANETA,Antioquia,,60.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,,402.0,1
ELECTRICO,2019,AUTOMOVIL,Particular,RENAULT,SABANETA,Antioquia,,92.0,1
ELECTRICO,2022,CAMIONETA,Particular,BYD,BOGOTA,Bogota D.C.,,201.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,181.0,1
ELECTRICO,2018,AUTOMOVIL,Particular,RENAULT,MEDELLIN,Antioquia,,92.0,1
ELECTRICO,2012,MOTOCICLETA,Particular,LUCKY LION,GIRON,Santander,,0.0,1
ELECTRICO,2022,AUTOMOVIL,Particular,MINI,BOGOTA,Bogota D.C.,,184.0,1
ELECTRICO,2019,AUTOMOVIL,Particular,NISSAN,BOGOTA,Bogota D.C.,,147.0,1
ELECTRICO,2018,CUADRICICLO,Particular,RENAULT,CALI,Valle del Cauca,,15.0,1
ELECTRICO,2020,CAMION,Público,STARK,BELLO,Antioquia,,161.0,1
ELECTRICO,2015,CAMIONETA,Particular,RENAULT,CALI,Valle del Cauca,,60.0,1
ELECTRICO,2022,BUS,Público,ZHONGTONG,BOGOTA,Bogota D.C.,50.0,261.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,NISSAN,BOGOTA,Bogota D.C.,,147.0,1
ELECTRICO,2014,MOTOCICLETA,Particular,ENERGY MOTION,SANTAFE DE ANTIOQUIA,Antioquia,,,1
ELECTRICO,2022,CAMIONETA,Particular,JAC,BOGOTA,Bogota D.C.,,147.0,1
ELECTRICO,2013,MOTOCICLETA,Particular,ENERGY MOTION,ITAGUI,Antioquia,,,1
ELECTRICO,2019,CAMION,Público,STARK,BELLO,Antioquia,,161.0,1
ELECTRICO,2021,CUADRICICLO,Particular,RENAULT,BOGOTA,Bogota D.C.,,15.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,BYD,CARTAGENA,Bolivar,,94.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,,402.0,1
ELECTRICO,2012,MOTOCICLETA,Particular,ENERGY MOTION,ITAGUI,Antioquia,,0.0,1
ELECTRICO,2014,MOTOCICLETA,Particular,ZERO,BOGOTA,Bogota D.C.,,27.0,1
ELECTRICO,2017,AUTOMOVIL,Particular,RENAULT,ENVIGADO,Antioquia,,92.0,1
ELECTRICO,2013,MOTOCICLETA,Particular,ENERGY MOTION,ITAGUI,Antioquia,,,1
ELECTRICO,2022,CAMION,Público,STARK,BELLO,Antioquia,,161.0,1
ELECTRICO,2022,AUTOMOVIL,Particular,BYD,BOGOTA,Bogota D.C.,,94.0,1
ELECTRICO,2022,CAMIONETA,Público,DONGFENG,FUNZA,Cundinamarca,,107.0,1
ELECTRICO,2019,CAMIONETA,Público,LIFAN,ENVIGADO,Antioquia,,80.0,1
ELECTRICO,2015,MOTOCICLETA,Particular,ENERGY MOTION,RIVERA,Huila,,,1
ELECTRICO,2022,AUTOMOVIL,Particular,RENAULT,BOGOTA,Bogota D.C.,,135.0,1
ELECTRICO,2022,CAMIONETA,Particular,MG,BOGOTA,Bogota D.C.,0.0,141.0,1
ELECTRICO,2019,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,170.0,1
ELECTRICO,2022,CAMIONETA,Público,RENAULT,FUNZA,Cundinamarca,,60.0,1
ELECTRICO,2016,AUTOMOVIL,Particular,RENAULT,BOGOTA,Bogota D.C.,,15.0,1
ELECTRICO,2022,CAMION,Público,STARK,BELLO,Antioquia,,161.0,1
ELECTRICO,2022,CAMIONETA,Particular,BYD,BOGOTA,Bogota D.C.,,134.0,1
ELECTRICO,2020,CAMIONETA,Particular,JAC,ENVIGADO,Antioquia,,147.0,1
ELECTRICO,2022,CUADRICICLO,Particular,ZHIDOU,ENVIGADO,Antioquia,,20.0,1
ELECTRICO,2022,AUTOMOVIL,Particular,YIJIE,ZIPAQUIRA,Cundinamarca,0.0,2200.0,1
ELECTRICO,2021,CUADRICICLO,Particular,ZHIDOU,MEDELLIN,Antioquia,,20.0,1
ELECTRICO,2015,AUTOMOVIL,Particular,RENAULT,CARTAGENA,Bolivar,,15.0,1
ELECTRICO,2010,CAMIONETA,Oficial,HAFEI,GUACARI,Valle del Cauca,,0.0,1
ELECTRICO,2020,AUTOMOVIL,Particular,NISSAN,BOGOTA,Bogota D.C.,,147.0,1
ELECTRICO,2021,CUADRICICLO,Particular,RENAULT,BOGOTA,Bogota D.C.,,15.0,1
ELECTRICO,2022,CAMIONETA,Particular,CHEVROLET,MEDELLIN,Antioquia,,200.0,1
ELECTRICO,2020,BUS,Público,BYD,BOGOTA,Bogota D.C.,,268.0,1
ELECTRICO,2014,MOTOCICLETA,Particular,ENERGY MOTION,SANTAFE DE ANTIOQUIA,Antioquia,,,1
ELECTRICO,2018,AUTOMOVIL,Particular,BMW,MEDELLIN,Antioquia,,170.0,1
ELECTRICO,2020,CUADRICICLO,Particular,JIAYUAN,BOGOTA,Bogota D.C.,,10.0,1
ELECTRICO,2022,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,170.0,1
ELECTRICO,2020,BUS,Público,BYD,BOGOTA,Bogota D.C.,,402.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,,402.0,1
ELECTRICO,2021,CAMIONETA,Particular,RENAULT,MEDELLIN,Antioquia,,60.0,1
ELECTRICO,2020,AUTOMOVIL,Particular,BMW,MEDELLIN,Antioquia,,170.0,1
ELECTRICO,2020,AUTOMOVIL,Público,BYD,BOGOTA,Bogota D.C.,,217.0,1
ELECTRICO,2017,MOTOCICLETA,Particular,STÄRKER,ENVIGADO,Antioquia,,1200.0,1
ELECTRICO,2020,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,170.0,1
ELECTRICO,2015,MOTOCICLETA,Particular,GREEN THOR,GIRON,Santander,,,1
ELECTRICO,2012,AUTOMOVIL,Particular,MITSUBISHI,CALI,Valle del Cauca,,,1
ELECTRICO,2022,CAMIONETA,Particular,AUDI,BOGOTA,Bogota D.C.,0.0,408.0,1
ELECTRICO,2022,CAMIONETA,Particular,BYD,ENVIGADO,Antioquia,,134.0,1
ELECTRICO,2021,CAMION,Público,STARK,BELLO,Antioquia,,161.0,1
ELECTRICO,2020,MOTOCICLETA,Particular,SONGI,ENVIGADO,Antioquia,,2000.0,1
ELECTRICO,2022,MOTOCICLETA,Particular,KAINING,ARJONA,Bolivar,,3000.0,1
ELECTRICO,2019,TRICIMOTO,Particular,WINLEE,PALMIRA,Valle del Cauca,,,1
ELECTRICO,2021,AUTOMOVIL,Particular,BMW,CALI,Valle del Cauca,,170.0,1
ELECTRICO,2013,MOTOCICLETA,Oficial,ZERO,BOGOTA,Bogota D.C.,,0.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,28.0,268.0,1
ELECTRICO,2019,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,181.0,1
ELECTRICO,2017,AUTOMOVIL,Particular,MITSUBISHI,BOGOTA,Bogota D.C.,,65.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,BYD,MEDELLIN,Antioquia,,60.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,,268.0,1
ELECTRICO,2020,CUADRICICLO,Particular,ORANSH,MEDELLIN,Antioquia,,10.0,1
ELECTRICO,2014,MOTOCICLETA,Particular,ENERGY MOTION,VILLAVICENCIO,Meta,,,1
ELECTRICO,2019,AUTOMOVIL,Particular,NISSAN,ENVIGADO,Antioquia,,147.0,1
ELECTRICO,2015,AUTOMOVIL,Particular,RENAULT,BOGOTA,Bogota D.C.,,15.0,1
ELECTRICO,2022,AUTOMOVIL,Particular,RENAULT,BOGOTA,Bogota D.C.,,135.0,1
ELECTRICO,2017,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,167.0,1
ELECTRICO,2022,CAMIONETA,Particular,BMW,BOGOTA,Bogota D.C.,,286.0,1
ELECTRICO,2019,CAMIONETA,Público,RENAULT,BELLO,Antioquia,,60.0,1
ELECTRICO,2022,CAMIONETA,Particular,AUDI,ENVIGADO,Antioquia,,408.0,1
ELECTRICO,2022,AUTOMOVIL,Particular,JAC,BOGOTA,Bogota D.C.,,60.0,1
ELECTRICO,2019,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,170.0,1
ELECTRICO,2022,CAMIONETA,Particular,MG,BOGOTA,Bogota D.C.,0.0,141.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,28.0,268.0,1
ELECTRICO,2018,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,0.0,1
ELECTRICO,2018,AUTOMOVIL,Particular,RENAULT,ENVIGADO,Antioquia,,92.0,1
ELECTRICO,2020,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,170.0,1
ELECTRICO,2020,AUTOMOVIL,Particular,BMW,MEDELLIN,Antioquia,,181.0,1
ELECTRICO,2022,CAMIONETA,Particular,BYD,BOGOTA,Bogota D.C.,,161.0,1
ELECTRICO,2022,CAMIONETA,Particular,BMW,MEDELLIN,Antioquia,,286.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,MINI,BOGOTA,Bogota D.C.,,184.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,RENAULT,BOGOTA,Bogota D.C.,,135.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,,268.0,1
ELECTRICO,2019,AUTOMOVIL,Particular,BMW,MEDELLIN,Antioquia,,170.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,,402.0,1
ELECTRICO,2022,AUTOMOVIL,Particular,RENAULT,FUNZA,Cundinamarca,,135.0,1
ELECTRICO,2019,AUTOMOVIL,Particular,RENAULT,SABANETA,Antioquia,,92.0,1
ELECTRICO,2020,BUS,Público,BYD,BOGOTA,Bogota D.C.,,402.0,1
ELECTRICO,2020,CUADRICICLO,Particular,ORANSH,MEDELLIN,Antioquia,,10.0,1
ELECTRICO,2022,CAMIONETA,Particular,BYD,BOGOTA,Bogota D.C.,,201.0,1
ELECTRICO,2020,CAMION,Público,STARK,BELLO,Antioquia,,161.0,1
ELECTRICO,2017,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,167.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,BMW,SABANETA,Antioquia,,181.0,1
ELECTRICO,2022,CAMIONETA,Particular,BYD,BOGOTA,Bogota D.C.,,201.0,1
ELECTRICO,2022,AUTOMOVIL,Particular,MINI,BOGOTA,Bogota D.C.,,184.0,1
ELECTRICO,2022,AUTOMOVIL,Particular,MINI,BOGOTA,Bogota D.C.,,184.0,1
ELECTRICO,2019,BUS,Público,BYD,MEDELLIN,Antioquia,,402.0,1
ELECTRICO,2013,AUTOMOVIL,Público,BYD,BOGOTA,Bogota D.C.,,120.0,1
ELECTRICO,2016,MOTOCICLETA,Particular,ENERGY MOTION,GUARNE,Antioquia,,,1
ELECTRICO,2021,CAMIONETA,Particular,BYD,BOGOTA,Bogota D.C.,,94.0,1
ELECTRICO,2022,CAMIONETA,Público,DONGFENG,MOSQUERA,Cundinamarca,,80.0,1
ELECTRICO,2020,CAMIONETA,Particular,BYD,BOGOTA,Bogota D.C.,,94.0,1
ELECTRICO,2011,MOTOCICLETA,Particular,VMOTO,BOGOTA,Bogota D.C.,,5.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,49.0,402.0,1
ELECTRICO,2020,AUTOMOVIL,Particular,RENAULT,ENVIGADO,Antioquia,,108.0,1
ELECTRICO,2022,CAMIONETA,Particular,BYD,BOGOTA,Bogota D.C.,,134.0,1
ELECTRICO,2019,CAMIONETA,Particular,RENAULT,MANIZALES,Caldas,,60.0,1
ELECTRICO,2022,CAMIONETA,Particular,DONGFENG,NEIVA,Huila,,161.0,1
ELECTRICO,2012,MOTOCICLETA,Particular,ECO JAMCHA,BOGOTA,Bogota D.C.,0.0,,1
ELECTRICO,2020,CUADRICICLO,Particular,ORANSH,MEDELLIN,Antioquia,,10.0,1
ELECTRICO,2017,CAMIONETA,Público,BYD,BOGOTA,Bogota D.C.,0.0,121.0,1
ELECTRICO,2020,AUTOMOVIL,Particular,NISSAN,PEREIRA,Risaralda,,147.0,1
ELECTRICO,2019,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,181.0,1
ELECTRICO,2014,MOTOCICLETA,Particular,ENERGY MOTION,VILLAVICENCIO,Meta,,,1
ELECTRICO,2014,MOTOCICLETA,Particular,LUYUAN,GIRON,Santander,,80.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,NISSAN,RIONEGRO,Antioquia,,147.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,28.0,268.0,1
ELECTRICO,2020,AUTOMOVIL,Particular,NISSAN,BOGOTA,Bogota D.C.,,147.0,1
ELECTRICO,2021,CUADRICICLO,Particular,RENAULT,BUCARAMANGA,Santander,,15.0,1
ELECTRICO,2021,CAMIONETA,Particular,BYD,ENVIGADO,Antioquia,,161.0,1
ELECTRICO,2012,MOTOCICLETA,Particular,LUCKY LION,BOGOTA,Bogota D.C.,,0.0,1
ELECTRICO,2016,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,167.0,1
ELECTRICO,2020,AUTOMOVIL,Particular,ROBETA,VILLAVICENCIO,Meta,0.0,2200.0,1
ELECTRICO,2022,CUADRICICLO,Particular,ZHIDOU,SABANETA,Antioquia,,20.0,1
ELECTRICO,2020,AUTOMOVIL,Particular,RENAULT,BOGOTA,Bogota D.C.,,108.0,1
ELECTRICO,2020,CUADRICICLO,Particular,ORANSH,MEDELLIN,Antioquia,,10.0,1
ELECTRICO,2020,BUS,Público,BYD,BOGOTA,Bogota D.C.,,402.0,1
ELECTRICO,2020,CUADRICICLO,Particular,ORANSH,MEDELLIN,Antioquia,,10.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,CHANGAN,FUNZA,Cundinamarca,,74.0,1
ELECTRICO,2015,MOTOCICLETA,Particular,YADEA,ENVIGADO,Antioquia,,1.0,1
ELECTRICO,2021,CAMION,Público,STARK,BELLO,Antioquia,,161.0,1
ELECTRICO,2019,TRICIMOTO,Particular,WINLEE,BOGOTA,Bogota D.C.,,1000.0,1
ELECTRICO,2020,BUS,Público,BYD,BOGOTA,Bogota D.C.,,268.0,1
ELECTRICO,2021,CUADRICICLO,Particular,ZHIDOU,BOGOTA,Bogota D.C.,,20.0,1
ELECTRICO,2022,CAMIONETA,Público,DONGFENG,FUNZA,Cundinamarca,,107.0,1
ELECTRICO,2022,CAMIONETA,Particular,BMW,MEDELLIN,Antioquia,,326.0,1
ELECTRICO,2022,CAMIONETA,Particular,JAC,BOGOTA,Bogota D.C.,,147.0,1
ELECTRICO,2022,AUTOMOVIL,Particular,MINI,BOGOTA,Bogota D.C.,,184.0,1
ELECTRICO,2022,CAMIONETA,Particular,BYD,PEREIRA,Risaralda,,161.0,1
ELECTRICO,2020,CAMIONETA,Público,DONGFENG,ENVIGADO,Antioquia,,80.0,1
ELECTRICO,2020,BUS,Público,BYD,BOGOTA,Bogota D.C.,,402.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,49.0,402.0,1
ELECTRICO,2020,CAMIONETA,Público,DONGFENG,ENVIGADO,Antioquia,,80.0,1
ELECTRICO,2022,CAMIONETA,Público,JAC,FUNZA,Cundinamarca,,161.0,1
ELECTRICO,2019,BUS,Público,BYD,MEDELLIN,Antioquia,,402.0,1
ELECTRICO,2010,MOTOCICLETA,Particular,ENERGY MOTION,MEDELLIN,Antioquia,0.0,0.0,1
ELECTRICO,2022,CUADRICICLO,Particular,ZHIDOU,BOGOTA,Bogota D.C.,,20.0,1
ELECTRICO,2015,MOTOCICLETA,Particular,AIMA,BOGOTA,Bogota D.C.,2.0,,1
ELECTRICO,2021,CUADRICICLO,Particular,ZHIDOU,MEDELLIN,Antioquia,0.0,20.0,1
ELECTRICO,2022,CAMIONETA,Particular,BYD,BOGOTA,Bogota D.C.,,134.0,1
ELECTRICO,2016,MOTOCICLETA,Particular,ENERGY MOTION,BOGOTA,Bogota D.C.,0.0,,1
ELECTRICO,2018,CUADRICICLO,Particular,RENAULT,CHIA,Cundinamarca,,15.0,1
ELECTRICO,2022,CAMIONETA,Particular,DONGFENG,VILLAVICENCIO,Meta,,161.0,1
ELECTRICO,2018,MOTOCICLETA,Particular,DAYUN,YOTOCO,Valle del Cauca,,,1
ELECTRICO,2022,AUTOMOVIL,Particular,MINI,BOGOTA,Bogota D.C.,,184.0,1
ELECTRICO,2022,CAMION,Público,STARK,BELLO,Antioquia,,161.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,PORSCHE,BOGOTA,Bogota D.C.,,616.0,1
ELECTRICO,2014,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,167.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,170.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,28.0,268.0,1
ELECTRICO,2021,CAMION,Público,STARK,BELLO,Antioquia,,161.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,,268.0,1
ELECTRICO,2012,MOTOCICLETA,Particular,LUCKY LION,BOGOTA,Bogota D.C.,,0.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,BYD,BOGOTA,Bogota D.C.,,60.0,1
ELECTRICO,2022,CAMIONETA,Particular,AUDI,BOGOTA,Bogota D.C.,,408.0,1
ELECTRICO,2021,CAMIONETA,Público,DONGFENG,BELLO,Antioquia,,80.0,1
ELECTRICO,2020,MOTOCICLETA,Particular,SEYOUN NJK,PEREIRA,Risaralda,,300.0,1
ELECTRICO,2019,AUTOMOVIL,Particular,NISSAN,BOGOTA,Bogota D.C.,0.0,147.0,1
ELECTRICO,2022,CAMION,Público,STARK,ENVIGADO,Antioquia,,161.0,1
ELECTRICO,2014,MOTOCICLETA,Particular,SUNRA,CALI,Valle del Cauca,,,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,,268.0,1
ELECTRICO,2020,CAMIONETA,Particular,JAC,ENVIGADO,Antioquia,,147.0,1
ELECTRICO,2021,CAMIONETA,Particular,BYD,BOGOTA,Bogota D.C.,,94.0,1
ELECTRICO,2022,CAMIONETA,Público,JAC,FUNZA,Cundinamarca,,161.0,1
ELECTRICO,2022,CUADRICICLO,Particular,ZHIDOU,SABANETA,Antioquia,,20.0,1
ELECTRICO,2012,MOTOCICLETA,Particular,ENERGY MOTION,ITAGUI,Antioquia,,,1
ELECTRICO,2020,BUS,Público,MARCOPOLO,BOGOTA,Bogota D.C.,53.0,670.0,1
ELECTRICO,2013,MOTOCICLETA,Oficial,ZERO,BOGOTA,Bogota D.C.,,0.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,49.0,402.0,1
ELECTRICO,2022,CAMIONETA,Particular,BMW,VILLA DEL ROSARIO,Norte de Santander,,326.0,1
ELECTRICO,2022,CAMIONETA,Particular,BYD,BOGOTA,Bogota D.C.,,134.0,1
ELECTRICO,2019,BUS,Público,BYD,MEDELLIN,Antioquia,,402.0,1
ELECTRICO,2012,MOTOCICLETA,Particular,ENERGY MOTION,ITAGUI,Antioquia,,,1
ELECTRICO,2022,AUTOMOVIL,Particular,JAC,BOGOTA,Bogota D.C.,,60.0,1
ELECTRICO,2021,CAMIONETA,Público,DONGFENG,SOACHA,Cundinamarca,,80.0,1
ELECTRICO,2013,AUTOMOVIL,Público,BYD,BOGOTA,Bogota D.C.,,120.0,1
ELECTRICO,2016,CAMIONETA,Particular,RENAULT,BOGOTA,Bogota D.C.,,60.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,BMW,MEDELLIN,Antioquia,,170.0,1
ELECTRICO,2010,AUTOMOVIL,Particular,BYVIN,BOGOTA,Bogota D.C.,,0.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,49.0,402.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,,402.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,,268.0,1
ELECTRICO,2019,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,181.0,1
ELECTRICO,2022,AUTOMOVIL,Particular,BYD,ENVIGADO,Antioquia,,60.0,1
ELECTRICO,2019,CUADRICICLO,Particular,RENAULT,MEDELLIN,Antioquia,,15.0,1
ELECTRICO,2016,MOTOCICLETA,Particular,STÄRKER,GINEBRA,Valle del Cauca,,1.0,1
ELECTRICO,2019,AUTOMOVIL,Particular,NISSAN,BOGOTA,Bogota D.C.,,147.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,,268.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,,268.0,1
ELECTRICO,2020,AUTOMOVIL,Particular,RENAULT,BOGOTA,Bogota D.C.,,108.0,1
ELECTRICO,2021,MOTOCARRO,Particular,CERONTE,FUNZA,Cundinamarca,,3.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,49.0,402.0,1
ELECTRICO,2021,CAMIONETA,Oficial,BYD,BOGOTA,Bogota D.C.,,94.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,,402.0,1
ELECTRICO,2022,CAMIONETA,Particular,AUDI,VILLA DEL ROSARIO,Norte de Santander,,408.0,1
ELECTRICO,2019,AUTOMOVIL,Particular,HYUNDAI,BOGOTA,Bogota D.C.,,118.0,1
ELECTRICO,2019,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,181.0,1
ELECTRICO,2021,CUADRICICLO,Particular,RENAULT,BOGOTA,Bogota D.C.,,15.0,1
ELECTRICO,2015,MOTOCICLETA,Particular,YADEA,ENVIGADO,Antioquia,,1.0,1
ELECTRICO,2017,MOTOCICLETA,Particular,ENERGY MOTION,GUARNE,Antioquia,,,1
ELECTRICO,2018,MOTOCARRO,Particular,CARDA,CAUCASIA,Antioquia,,350.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,28.0,268.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,BMW,FUNZA,Cundinamarca,,181.0,1
ELECTRICO,2019,CUADRICICLO,Particular,RENAULT,BOGOTA,Bogota D.C.,,15.0,1
ELECTRICO,2017,CAMIONETA,Particular,BYD,SABANETA,Antioquia,0.0,121.0,1
ELECTRICO,2022,CAMIONETA,Particular,BYD,BOGOTA,Bogota D.C.,,134.0,1
ELECTRICO,2022,CAMIONETA,Público,DONGFENG,SABANETA,Antioquia,,161.0,1
ELECTRICO,2017,CAMIONETA,Particular,BYD,SABANETA,Antioquia,,121.0,1
ELECTRICO,2022,CAMIONETA,Particular,BYD,ENVIGADO,Antioquia,,94.0,1
ELECTRICO,2015,MOTOCICLETA,Particular,ENERGY MOTION,GUARNE,Antioquia,,0.0,1
ELECTRICO,2022,CAMIONETA,Particular,MAZDA,MEDELLIN,Antioquia,,143.0,1
ELECTRICO,2021,CAMIONETA,Oficial,BYD,SAN ANDRES,"Archipielago de San Andres, Providencia",,94.0,1
